original_text,noisy_codeword,snr_db
La communication numerique est au coeur de notre societe moderne,"[0.8499946304089362, -1.614933560548786, 0.27881685744985496, 0.06964623532405112, -2.0747897448002863, -0.32264710324873624, 1.614427155931502, -0.7466447251335223, -0.8767140777298553, -2.0520355874621092, -1.5098899291682295, -1.3148474320123902, -1.3472553916621874, 0.1403676377543266, 1.0625109750853026]",4.0
JQ,"[1.8127971546871366, -1.148275770752443, 1.2267634204269278, 1.282822420504189, -0.729266988864064, 1.48129344933618, 0.7386298175061312, 0.6965784154122078, 0.9535396067648687, 1.120392123077135, 0.42112376094803816, 1.4483476779429965, -1.1470329700327446, -0.6666514265630068, 1.572731271680381]",5.0
UCxzmz,"[0.1418031553560497, 0.036187111933858596, 1.4655348417374654, -0.9039963269593201, 0.8904312173638981, -1.20421629204782, -1.5311100182861002, -0.19118533836279772, 1.044631705955079, 1.6577524079454506, 0.7644014805145114, 1.1842727444785794, 0.04185366081602737, -1.288674524471166, 0.12358810102970641]",5.0
La communication numerique est au coeur de notre societe moderne,"[1.9124145459088202, -1.1539386665181208, 1.5735479087565531, 2.377962248485024, -2.253272274300585, -1.5246885050435657, -1.0857866210604414, -0.4926842941961268, -0.2814378033169651, -0.6006720559442345, -1.67835616725251, -0.405618708319865, -0.8808007795590672, -3.267094109362756, 0.12490811193534768]",0.0
pw,"[1.4518694366477478, -1.1548178808793048, -1.8103976512277136, -0.7978459219543601, 1.1434593871044814, 1.2567813546741393, -1.6337284597508943, -0.18507681316504698, 1.2176176167352906, 1.5079463592036522, 0.5570525010695121, 0.5708244215249394, -0.7191131834454578, 2.775844492987219, 2.2707490041269685]",4.0
eLg,"[1.6380479084531996, -0.5837671343815581, -0.6707133173442752, 0.6147007168711865, 1.786284957953816, -0.06860982905169866, -1.0480016860868406, -0.8639253990959143, -2.095507195805341, -0.22733015512429, -0.0998837933784904, -1.1460941907573976, 0.008603362459778552, -1.106462492530275, -0.36831244468442814]",4.0
ron,"[0.9637695513915128, -1.0805103859967236, -1.5159811332239466, -1.3124192917485211, 0.4526563513348336, 1.854582370260637, -1.093802057912437, -1.275740917678406, -0.07707979785001062, 1.42142620714509, 1.5728147228202098, 0.8671222184086996, -0.8932296146405587, 1.6022809276711496, 0.9714649642345645]",3.0
Le decodage de canal est essentiel pour la transmission fiable de l information,"[2.0257274927370257, -1.2553817312032933, 0.07857605361560394, 1.4195023243326697, -0.6277083609984845, -0.6031656231939878, 0.5357079691680646, -0.18192730027128567, -1.4456442411058186, -0.4263662796905604, -2.7662203651615904, -1.9621102872929708, -1.6132020866037575, -3.7216923359366487, 0.4729141208779899]",0.0
Le decodage de canal est essentiel pour la transmission fiable de l information,"[0.9792590138288115, -0.0626230457229503, 2.0489141704182403, 1.3621928123509481, -1.2387387369385179, -0.427504522716494, -0.4212076014663968, -1.0394767735168289, -0.766475706202724, -0.9073796970086843, -2.6313662145188603, -1.0975091602961768, -0.7390400989482377, -1.4627706938459941, 0.5801064520018739]",2.0
Le decodage de canal est essentiel pour la transmission fiable de l information,"[0.860081200087273, 1.3462700154407483, 1.8786070462447868, 1.049082308074978, -2.1973366129238308, -1.0688281022809778, 1.371717978392322, -1.2350347711733465, -0.9399617791063755, -1.3793638459665036, -2.103354590709923, -0.5681605931690128, -0.8959270417964216, -1.5904911384937943, 1.291039163841746]",0.0
Les codes LDPC Turbo et Polaires sont des techniques de codage canal avancees,"[0.13991389431801848, -0.8333175920517245, 1.161241932274108, 0.7088222625399366, -2.171375571034102, -0.9226101161073708, 0.7456565309982826, -1.6651600065328376, -1.8175667680123975, -2.946246436967102, -2.064255733173832, -0.35189337008442245, 0.4795631411350414, -1.3216217527162897, 0.4644046138403016]",2.0
Lapprentissage profond revolutionne de nombreux domaines y compris les telecommunications,"[1.0770717268789485, -1.5638465551725917, 0.27430292640211307, 2.2992806188666055, -1.3359901864875043, -3.0556675066178163, 0.9211464512807535, -0.10815048039725927, -1.7751202948467322, -2.590381316285139, -0.7026330205980353, 0.05499780709370716, -1.4876570607450106, 0.3490631836122169, 1.4378251608097379]",1.0
Lapprentissage profond revolutionne de nombreux domaines y compris les telecommunications,"[1.53954513379486, -0.7257440260492344, 0.16171996261101707, 1.4532750733896735, -1.245100226786513, -1.7535546707104595, 2.612637547798219, -0.2530475807709097, -1.1209422896697026, -1.002594757802663, -0.9205799795615582, -1.4956294073954606, 0.491945197774863, -0.5216973862442353, -0.34948230622244725]",1.0
Les codes LDPC Turbo et Polaires sont des techniques de codage canal avancees,"[1.27304123107037, -1.248552453258031, 0.8340584833309088, 0.622150989066498, -0.8330930186025349, -1.6607383876455113, 1.8183907775278167, -2.2073497669679414, -0.9845521197810245, -0.657675172008513, -0.756608746117372, -1.531806445415044, -0.6500522050039151, -0.48793529505574196, 0.7615195363704712]",4.0
ijnvVO,"[0.2708062383743355, 0.6506824254469534, -1.6187872244707617, 0.9188784451142389, -1.200388191602258, 1.9613485953833125, 0.36096872039315353, -0.9715273683155241, -0.845057093040627, -0.15556909351191428, 0.33940841896691665, -0.6266846904552603, 1.0073152738111952, 0.7059769006070085, 3.0066236191700937]",1.0
GUYjlfx,"[0.6004030312107123, -0.8236236296303466, 1.0170980684585174, 1.2112140607119461, 0.606707594706366, -0.3181306259734191, -0.5823761672194079, 0.19242010817019117, 1.4506628239386599, 1.8055162817718853, -2.4100589074536845, 0.06334119293655849, 0.7455378563550898, 1.6499718090501196, 0.7449485028783422]",4.0
UoRjpB,"[0.6208920642417464, -2.1210194613852136, 0.6396291754765911, -1.9109338076476576, 1.218859939248493, -1.1716527391005112, -0.8386246078186037, -0.9167325806514887, 1.9843408390598167, 1.6625713395549098, 0.3527640030594754, 0.48940245087463485, 1.9170182764429233, -1.3036558825035214, 1.5502939817668104]",4.0
Dm,"[1.5662021044694128, -0.5168360459684781, 0.8159084813381872, 1.0786166794325984, 0.6715387447338429, -0.6480442804593107, -0.9331160279583137, 1.879137312602552, -0.15149343211003496, 1.445675323059046, -1.988872967435976, 1.4866039426330135, 1.156666938174168, 0.3531009647836866, 1.0940475636788847]",4.0
La communication numerique est au coeur de notre societe moderne,"[0.7990469137326596, 0.23067642089607832, 0.12435419325187835, 0.7840952429440073, -0.6239501085446977, -0.2250856037477259, 0.6980871411713991, -1.0289958866329196, -0.8610292320461299, -0.6042618910124748, -0.9760678989259949, -0.8843870804183135, -1.02238245658604, -1.1129174383023748, 0.24049522057748618]",5.0
IQCaggG,"[2.5225791436173797, -0.7223079165368215, 1.7963238484134707, 1.803560798960976, -1.091077806818603, 0.024498370072436715, 0.5590806708021296, 0.9692167864627427, 1.1347735657419507, -0.07746940202123209, 1.9504887954332264, 1.6037819277133636, -0.6200385318621987, -0.6009069636402709, 1.2116126002073127]",1.0
C,"[0.26679685737746905, -0.9941890502954139, 1.1420362594834432, 1.0923406393198027, 1.1087155822084314, -0.20826574329866743, -1.024167598534776, -0.4466577849126834, -0.1404941411298607, -1.5664323692844744, 2.1116015221200097, -1.0083909637937636, -0.08323946292694817, 0.4745258024758683, 1.838585883102998]",3.0
Les codes LDPC Turbo et Polaires sont des techniques de codage canal avancees,"[1.7981051438479745, -1.0056001443842033, 0.9336735002663737, 0.9798170034922442, -0.5591458000971401, -1.4725148519756455, 1.4486634305323944, -1.961072418505526, -0.5900128431945556, -0.4860562213628732, -0.2288143231936146, -0.9643573642676511, -2.560390301728847, -1.1686446130014545, 0.8546462123356251]",3.0
z,"[0.11246854636800518, -0.6276935535497372, -0.03716849910741027, 0.348443201007302, 0.7694661976863919, -0.0517295991926674, 1.453417937210808, -0.03932733873574201, -0.5300571054712584, 0.14803238133300556, 0.23015555542712618, -0.6557756405677218, 0.6056522979020038, -0.8286909124613402, 0.6011484610873568]",1.0
HsrMcX,"[1.5141781773426493, -1.3183440088840648, 1.9251518227588733, 1.5456538532023592, -1.061065746379354, 0.9224107414804713, 1.361048599931567, 0.2708552382138031, 2.399074547503086, 1.1654268165282393, 0.6255739474442945, 1.524563842873896, -1.9695853842365327, -1.6737805285609229, 1.5647000058545513]",4.0
Le decodage de canal est essentiel pour la transmission fiable de l information,"[2.733728110505586, -1.981096361912593, 0.416241382066843, 0.8308092444514263, -0.1849013258541229, -0.39315236001907605, -0.2535723846635549, -2.2244432376035217, -1.3054166702693135, -1.8107509385193894, -0.8264059038665138, -1.9053279585151346, -0.5376758350527826, -1.7346536828633465, 2.2920629096019534]",1.0
Ce projet de PFE explore l utilisation de l IA pour ameliorer les systemes de communication,"[2.7488188325699503, -1.1139150437957566, -0.7090555959023739, 1.418731794733818, 0.2288220953668224, 1.1191137908612396, -1.1399251067372347, -0.39596887328364694, -0.7544232926824916, -1.4830504998684728, 0.8671025185650852, -2.197938044129811, 1.2576144353768341, 0.8808156866190169, 0.6628408391822203]",0.0
Ce projet de PFE explore l utilisation de l IA pour ameliorer les systemes de communication,"[1.005442567225694, -0.5943491854333589, 0.046723704679285105, 0.1616209787385402, 0.7731141894061299, 0.8350026959768315, -0.763321461442733, -0.056360947150947194, -0.1256084980042812, -0.44079385976171526, 2.3454272590020526, -0.9754344331899834, 1.2539781439019544, 1.5007324622957414, -0.10307428293746845]",2.0
JOAFm,"[0.2926691459348879, -0.8848136153793263, 0.754818893740133, 1.6022538738861765, -1.6668815731368753, 1.7051730378990486, 1.035290152337624, 1.1968358053996568, 0.9385849052917082, 1.5588916855997397, 1.9457255412249148, 0.37920420205929417, -0.9838417647923766, -1.2510805070722524, 1.5347524538258228]",5.0
MwgX,"[1.6280223712444537, -0.8897575486020541, 0.19462468062115956, 0.7453284432847105, -1.8120372764818176, -0.7428904970937564, 1.074900801790375, -1.2883720537860341, -0.9542796167272778, -0.37437766175279863, -0.6953531206171049, -0.46369042945855343, -0.9652397948559309, -0.6470396552244011, 1.1135635517894986]",3.0
La communication numerique est au coeur de notre societe moderne,"[-0.4009122816101718, -2.1953325200798934, 0.30510969272067257, 1.323565808609659, -0.6973009787171682, -2.687354814708573, 0.7150055697942186, -2.687380118253535, -0.5525097307521059, -0.9198561628276184, -1.4235294299417482, -2.3555164104011315, -0.11653711824845459, -0.7924419335351416, 1.5198591283360376]",1.0
Les codes LDPC Turbo et Polaires sont des techniques de codage canal avancees,"[1.7328800551042767, 0.9923501537649622, 1.3168960834592633, 1.074550239974426, 0.2995024720288544, 0.9119221459253344, 0.7441762832380464, -0.47664406936237835, -1.5992495966321552, -1.3597689542567812, 0.06975245172142053, -0.14976952358460294, -1.9448189306392059, -2.3697504068979316, 1.289213959136729]",1.0
Le decodage de canal est essentiel pour la transmission fiable de l information,"[1.1495525705782252, -0.3339688096825696, 0.3911301511517983, 2.7759690589273602, -1.220915405803039, -0.6628826446076822, 0.5105565139533276, -1.3596123173574641, -0.7473980686067859, -0.46125675815001366, 0.3913942487259108, 0.4158957771505176, -0.43913540967115994, -1.773714922679729, 1.1912686847970866]",5.0
Ce projet de PFE explore l utilisation de l IA pour ameliorer les systemes de communication,"[1.2274207318715527, -1.447426335585584, 0.4745276067298483, 1.017798791044836, 1.7310004489026811, 0.5152443279053598, -0.6036631154517227, -0.44934814396934375, -0.48597938302697474, 0.6696202424510416, 1.5009924199701312, -1.052175633401419, 2.296826373888717, 0.7039577760022871, 0.6101556858731587]",5.0
Lapprentissage profond revolutionne de nombreux domaines y compris les telecommunications,"[1.8179285203479454, -0.8608302216070425, 0.9615491709010597, 1.6171014419709238, -2.1979394895249635, -1.5745668683636662, 0.6547069727503628, -0.3244154327536798, -2.7299332604643594, -2.215239661909669, -0.366375614744904, -0.3935364902011814, -1.9707898855652433, -0.8972192801701714, 1.3760331922214426]",2.0
 hOor,"[-0.546108231534959, 1.7141857782943124, -0.981459766423141, 2.0526469730050496, 1.0463095393104946, 1.0403440964080162, -0.31958905462216536, -1.425886100467185, -0.5580193905223532, -2.3992193149100567, -1.653823457243533, -1.4217867099996548, -1.9300245144648103, -1.9462200342284257, 1.1251338694598705]",4.0
Xj,"[0.26350759580742533, -3.4810309402998225, -0.14141895262202953, -1.9125718926718036, 0.2914170191290384, 0.42213610841165616, -0.33325012637335916, 1.4730636446615626, 1.5739791495221178, 1.1379488626551897, -0.8193486532538605, 0.9164854499195866, -0.5571465890463824, 2.528023614922219, 2.134640784434427]",0.0
Les codes LDPC Turbo et Polaires sont des techniques de codage canal avancees,"[1.6573546320470147, -2.1026540677702084, -0.055988497587297736, 0.8776670650776458, -0.3234029804343196, -1.2880688712164896, 1.149514524509071, -1.8135870245344279, 0.6231500317885033, -1.1733743086734254, 0.6260444692152984, 0.5255190696857028, -0.9454153577915435, -0.8320824507826627, 2.700014317290545]",1.0
Lapprentissage profond revolutionne de nombreux domaines y compris les telecommunications,"[0.7412610202369911, -2.0196358524701563, 3.202825682082353, 1.0611105359472195, -0.8459528885175612, -0.41507312123730256, 0.8113680003721011, 0.3873417237884398, -0.8998751136081089, -1.134033940611038, 0.7364809279531324, -0.6902712054855488, 1.0942220708807655, -1.8219706384182772, 1.461173515400703]",0.0
apTzE,"[0.6083155818501605, -2.3374286593914957, -2.2814906943029785, -1.1042741398665146, 0.43036338436819566, 1.6084311187033018, -0.6752169892541365, 1.674123993939567, 1.6171878587416373, 3.010659615224014, -0.7657014943894891, 2.3240249693922417, -1.7276433487117995, -1.6690334797238138, 1.0923262100015187]",1.0
La communication numerique est au coeur de notre societe moderne,"[1.2885196863510835, -1.4298098957429382, 0.7695999439182023, 1.4055962817785232, -1.5415887282777034, -0.4376287070022645, 0.6018250414432662, -1.4218188412584551, -0.5926175038144729, -0.7025438117050478, -0.35159671824274663, -0.8276991018833564, -1.6603621326212585, -0.6280884033017842, 0.9606063153976958]",5.0
TSJVE,"[0.19783063474710627, -0.5386203902264924, 1.0617576905889732, -0.9226477716193684, 0.55547766025551, -1.4837963982458686, -0.6615665619294095, -0.03530245323144254, 0.33579638314604954, 2.364009451080772, 0.8623429235337003, -0.4664043683811505, 1.8359040435464191, -1.4370521854947074, 1.8122969543304808]",3.0
Les codes LDPC Turbo et Polaires sont des techniques de codage canal avancees,"[1.9199353565227348, -1.0325806647775906, 1.1103135932538784, 0.26271721566413675, -0.3757599526462422, -2.6316648228827813, 3.113810651878562, -1.5661547176486348, -0.5485369295169684, -0.23530923063222597, -1.2736854910455842, -1.2622584472570564, -2.3494274222009457, -0.5142888636200189, 0.06489543449109592]",1.0
Le decodage de canal est essentiel pour la transmission fiable de l information,"[2.1595096205701303, -0.10458205512785834, 0.08179066737964868, 0.33604065504164227, -0.004385461095440246, 0.8415442812349416, 0.7431228903854414, -1.630381060781585, -0.9481801755763086, -1.79039586529644, -1.1467459453123592, -0.9976196247556914, 0.09221690524292914, 0.14001351327040745, 0.5202566151798771]",2.0
qTPA,"[2.227602885739326, -0.5170127015915418, -0.4388359092312263, 0.170616855276305, 1.854729717477815, 2.0356022671019174, -1.1088842327862232, -1.3306432842829587, 0.4853861982431149, 1.7102860821744708, 1.008451033387443, 1.5127683571909811, -0.8216967768366396, 1.6891859907526015, 2.0298398043239394]",1.0
QkyAHeS,"[1.8883427915732012, -1.2329271396531942, 0.17826318580321177, -1.324145562253674, 0.6938142081788425, 1.3106043505332607, -1.35880009898821, 0.9455279096854432, -0.20472901494710738, -1.7089609301283186, -1.2348146389366166, -1.126076006595139, 0.6556567326191984, -1.667666544686126, 1.2714557513261389]",4.0
vhZs,"[0.900175223217848, -0.5022167265938153, -0.37418733340534893, -0.9341492022190003, -0.2836288415938031, 1.2768732360885298, -1.320994160054497, 1.215669082277488, -2.4425516242506706, -0.9981152031248525, -1.7959289783430687, -1.4345191381652591, 0.7076945101890073, 0.6498019396302186, 1.3317979806047875]",3.0
Les codes LDPC Turbo et Polaires sont des techniques de codage canal avancees,"[-1.038478210086193, -0.18835269068521032, 1.005955769661736, 1.7983819039706335, -1.565784478917334, -2.468623674468764, 0.42079416495658706, -0.7832719183380502, -0.6106290306202347, -1.4104085669538584, -1.007909391129563, -0.523041452715548, -1.0496235245830141, -2.616774990833008, -0.42871563773813537]",0.0
DGiT,"[-0.1129232775045077, 1.8495324786968763, 0.5623214131382186, -0.19160515947291246, 0.4592650265632009, -2.462877276099211, -0.39560549307146586, -0.11639602139790783, 0.29810150932440027, -0.011818313891079235, 0.14207428546342937, 0.31052814956309804, 1.221421707938527, -0.3762552899238669, 0.17704221841724943]",1.0
MeRNM,"[1.7813028060794207, -0.6485237396878873, 2.354530187996677, -0.13958613956999133, -1.4604330828701284, -0.3763257708966876, 0.5668878185270585, -0.10817923329209467, -1.3123141724190384, -3.567644969481715, 0.0025606027232818462, -1.480579857127985, -0.7644071717810089, -0.3641966332035287, 1.4033318504538561]",1.0
Ce projet de PFE explore l utilisation de l IA pour ameliorer les systemes de communication,"[2.723421440391162, -0.47796055810720806, 1.5903671068876468, 0.7028572323148619, 1.9473415671589056, 0.06267045566560359, -2.1521146665933957, 0.05046271211045794, -1.2700949209637789, -1.3665935334327406, 1.353221185324616, -0.7853502872616024, 0.5509440061069979, 0.9074471708704732, 0.810889676463574]",1.0
Les codes LDPC Turbo et Polaires sont des techniques de codage canal avancees,"[0.9033547199794972, -2.1679849440756827, 0.38652196703161323, 0.22497232000195932, -0.34779148099198975, -1.608509403971723, 1.3114289168621593, -1.4593155859744318, -0.7163745510506474, -2.2744913681992314, -1.8287850515717134, -1.3208214324892678, 0.9364861497701105, -0.44911160171948505, 1.353915305939887]",2.0
KIHu,"[0.0016599749190330249, -0.601635066377787, 0.8925565783908767, 1.3365895558095793, -0.7610604531164773, 1.498331968341439, 0.13106974065042132, -0.07255140728562437, 1.402786866794215, 1.5378647971161459, 1.08665202159901, 0.8224416266686544, -2.2277069663365383, -1.1247600164149747, 0.8793846781401052]",4.0
Pmke,"[0.01736125643668529, -1.0796024629812724, 0.4548258441656686, -1.7951361688254877, 0.478022026931635, 0.8856188659154094, -0.5109028661901125, 1.2003205244631863, -0.6069707050110131, -0.6974142489024531, -2.1463108029185065, -0.5982990120016045, 0.008427231555730663, -0.6317913145912354, -0.6189755014353633]",2.0
La communication numerique est au coeur de notre societe moderne,"[2.1795993692873044, -0.14216931898280205, 1.5859528394968794, 2.419494318071223, -1.446200806012048, -1.3389624169393786, 1.896118506962365, -0.7474905342520743, -0.4968282848875183, 0.6391755133814097, 0.3716907804559033, -2.0087527035302593, -1.2303927322823076, -1.4320516403738979, 1.736496050440833]",1.0
Ce projet de PFE explore l utilisation de l IA pour ameliorer les systemes de communication,"[2.5984117137509224, -0.5888292645171365, 1.3205344388118065, 1.4093372144721694, -0.7487028761725856, 0.9992864103167807, -0.7179308112157695, -0.7251035268296427, -0.5884086884990526, -1.5205239999112004, 1.3156857543377456, -0.7681146342111599, 1.5352009258197277, 0.4346190769531644, 2.3480284466144496]",3.0
Le decodage de canal est essentiel pour la transmission fiable de l information,"[3.591018201776293, -0.6803411107531606, 2.2675353565925818, 3.6282681350448818, -2.4287530693841513, -2.4771213870072177, 1.1197918801446678, -3.0595006635583992, -1.504031068775845, -0.7795930093587973, -0.8467703346145434, -1.5426930812882735, -0.17051121354119259, -0.9242618856674958, 1.6847335733434023]",0.0
Le decodage de canal est essentiel pour la transmission fiable de l information,"[0.10960693255470955, -1.5321777947614397, 0.9680722627733658, 1.3342202822289546, -0.4873962376395342, -1.0041106849984678, 0.802382751656035, -1.1202992667209206, -1.7597846103105534, -1.5151413908658942, -0.8314030552131664, -1.0712868737611245, -0.051885622772089746, -1.9987610501458253, 1.0743946884271134]",2.0
r OvhO,"[0.16748507921296407, -1.7555373383281996, -1.4269339185416012, -1.1781968684479294, 0.9571132765002706, 0.23457197859217094, -0.911532790618159, -1.2141837318910746, 2.2873749071511913, -0.6031256747200651, 1.360297958232243, -0.06599474712601605, -0.4276638505223177, 0.8230771886537069, 0.7653992688697662]",4.0
Ce projet de PFE explore l utilisation de l IA pour ameliorer les systemes de communication,"[1.7603795900494377, -0.7285310264374125, 2.1933692250167267, 1.5672170544818096, 0.8123961405118695, 0.3457443201039099, -1.4343619519570128, -0.4360070268534204, -0.41415224007116613, -0.6601811051146959, 1.5986956628269042, -1.9114725596260262, 2.035474353192845, 0.8688782303320853, 1.2733548410374806]",5.0
Ce projet de PFE explore l utilisation de l IA pour ameliorer les systemes de communication,"[0.8080901453964395, -2.2127327445173735, 1.379199879107505, 0.5507786202838916, 2.0316668403952356, -1.0414379623185224, -0.4915947790449253, 0.6048423437388397, -0.4533180371397041, -2.367934897612613, 0.8994491963641537, -1.064507884194038, 0.8152439907387323, 2.2511695772869906, 0.9082128000567693]",0.0
oSf,"[0.862759408895369, -0.2638255325562683, -0.7878642634894525, 1.4790044443048491, -0.6502066752576884, -1.1207782340914612, 0.5304432591966686, 0.37599130480232457, 0.41601687699489676, 0.40888541613387286, 0.40583928417930926, 1.682877891949667, 1.0514794586354952, 0.8565552464359718, 1.4306704717625636]",3.0
Le decodage de canal est essentiel pour la transmission fiable de l information,"[1.4343460267717667, -1.3343936067313646, 1.3769709529554182, 0.31798867279246856, -2.1551674748554275, -2.3999642375268726, 0.5100267894464385, -0.18871582736344972, -1.1355002727599468, -1.6219534527872965, -1.1641796170166119, -0.6499570413545206, -1.088498355566838, -0.39125344782769633, 0.45260892893681404]",3.0
md,"[1.656029643539773, -0.343971051380239, -1.2865772933411965, -0.41202602925414933, -2.8002307925617003, -2.301132068047491, 2.111390921264266, 0.08910374122521048, 0.8185673673299827, 1.1137770529662843, 1.2141323584418702, 0.14365812190094418, 0.2322046809966012, 0.08736457846096024, 1.0604279333843571]",2.0
DRYp,"[0.5065300229200721, -1.4599697817988413, 0.16729982098440932, 1.2994872273471636, 1.1889949259408918, 0.405542272698036, -2.1139985286268006, 0.9538594999326534, 0.3905351896526563, 2.0579054046279572, -1.0095437259261153, 1.645383622108279, 0.554776901641542, 1.7744926875562863, 1.2664130172400316]",4.0
HJiCPA,"[-0.4706353321342016, -0.4392061403705001, 1.3468293478701159, 0.9841569662591176, -1.3308808745744811, 0.6254106310425844, 1.6281989517998754, 2.2258777806788315, 0.43712821863885976, 1.9456023829884146, 0.4129370336360666, 0.029009730489871766, -0.9254724926218432, -1.0039173740033762, 1.2397195426603551]",0.0
WC bCga,"[0.780713020593241, -0.44652367420445427, 0.616031646824368, -2.158762869519477, -0.3091424696130318, -0.42550618004982443, -0.47440748086955353, -0.9169937257071776, 0.3326070654478236, 0.11022314989750659, 2.2850427423295647, 1.3289331404346068, 0.6488750632784279, -1.1935526542304264, 0.9951435865442576]",4.0
Les codes LDPC Turbo et Polaires sont des techniques de codage canal avancees,"[1.3204145337055924, -0.911861817327704, 1.5283473421801692, 2.3225648297372077, -2.832487782901725, -0.6568443145081378, 1.3507097208714016, -1.4256061646716423, -0.46749509300153236, -2.644837570627302, -0.32679237556290086, -1.208502444948759, -2.1614880812456145, -0.6624396896484477, 1.3927966306408965]",3.0
Ce projet de PFE explore l utilisation de l IA pour ameliorer les systemes de communication,"[0.9265837750044335, -1.0845365774487805, 1.6411304207119797, 1.2367621423519881, 1.5981907338602777, 0.618260860310673, -0.743676279435993, -1.9672586799857799, -0.9953025017735608, -1.4615792376678671, 0.28640888992041413, -1.5756575690531087, 0.5945894497908519, 0.2015477272284374, 1.8515576789615618]",3.0
TWZbz,"[1.6257336638341684, -0.6963172572872804, 0.267314803769682, -1.2204918002217349, 1.5147394322272156, 0.3217045410665784, 0.38188007675713265, -1.9525836126020906, 0.05009707746524761, 0.5976595203892328, -0.9786225369691395, 1.9239968228192854, 1.6903586886090922, -1.0690033715954508, -0.303752849017922]",2.0
G,"[1.3778873442102961, -1.068928781416082, 1.406332407169726, 1.0932671379765204, -0.38490708900795156, -0.6998845893986276, -1.3639189932150906, 1.5970254090025722, 0.8923622137813377, -0.007661280093973044, -0.38361611370754145, 0.9381103687136736, 0.7384397074344327, 0.7000358814172694, 0.6772663764486652]",4.0
Ce projet de PFE explore l utilisation de l IA pour ameliorer les systemes de communication,"[0.05852072687325238, -1.389911262561934, 0.9808048268767782, 0.23509972853341954, 0.5579900088594162, 0.9608302566004051, -1.7443456265960613, -2.63393638735335, -1.4580687166212194, -1.3930435865150987, 1.0765548819891213, -0.4404608941652328, 1.6324275014374519, 0.30307930087058377, 0.27154553733712306]",5.0
FHFTEKN,"[1.5659539226770793, -2.327226089457465, 1.2718033604860894, 0.5737355143362135, -0.18424119014474072, -1.5252317822028982, -0.779915398028534, -0.5112256894478775, 1.580085890402133, 0.8346877943016063, -0.0750931821158306, 2.705708910880774, -0.49181188601386516, 2.397145936438142, -0.4081801194701964]",1.0
Lapprentissage profond revolutionne de nombreux domaines y compris les telecommunications,"[1.3209720003498018, -0.31574311209267925, 2.013314676795205, 0.959757866171463, -1.8373426966839892, -0.571469978409511, -0.2858050740662401, 0.7634940463263267, -0.8724605950037626, -1.7682785641495071, 1.0094295788548404, -0.8363169107858334, -0.275125554133709, -1.1087209023257323, 0.6271384525454251]",0.0
bUEGO,"[1.1039197049011844, -0.9051055187758519, -0.6706035434888455, 0.8807109695777356, 1.0980113531308866, 0.37707841812116716, -1.3685598449327763, 1.3543873608449362, 0.26812048059307514, 0.194193279012008, -1.170496781283177, 1.5106899700569651, -1.2382362872292647, -0.7940984143412606, 1.9376158579568221]",5.0
Ce projet de PFE explore l utilisation de l IA pour ameliorer les systemes de communication,"[0.21063275344126997, -0.3096702805128073, 1.7260890728868175, 1.225209759456658, 1.5625828577242356, -0.3590360850833474, -1.4353918344374017, -0.09236905490223879, -0.8654565744638244, -2.461661561202779, 0.5368476790103105, 0.2867971255806905, 0.9456971260425772, 1.9588910057286997, 0.8699912602046871]",3.0
BqIB,"[0.5652107218491855, -0.9063818402781024, 1.3636695224991056, 0.6588753819265467, 1.0495045865882968, 0.5992237472058963, -1.8295905119314426, -1.367908959145232, -1.6025544080167222, -1.47430496755506, 1.0558502946476123, -0.6243486401840517, 1.366642186992813, 1.2383345655322502, 1.336905243462616]",5.0
ihBFX,"[0.3482941928492532, -1.5025744349254442, 0.2761301517134931, 1.139111868324926, -0.9083466541054741, -0.24813850578008512, 1.2427233662259387, -0.9292924645152258, -1.0631732622154375, -0.3146090154475326, -1.7700804336779945, -1.3522997723125045, 0.4954418411546524, 0.895786481652408, 0.8530953958784162]",5.0
vG,"[0.21629725371410813, 0.034684546183906706, -2.17195339651808, -1.6651584987552015, -0.22860970798985658, -1.6738165363894566, -2.0643584061152116, 0.3423196875413713, -0.5822097536051257, -1.0409002797473308, -0.2169322289875738, -1.3315295397142066, -0.5047191374363635, 1.2872748497269533, 1.3931677056893645]",5.0
Les codes LDPC Turbo et Polaires sont des techniques de codage canal avancees,"[1.5260780934356437, -3.412731947835956, 0.7285181764762304, 2.350759048121466, -1.0938452639394294, -3.2232904307053607, 1.7525761339418924, 0.01908618950912855, -1.429379320149239, -1.6262390148203503, -1.647687741659381, 0.04590507648276709, -1.7161173649772068, -2.262442120163172, 0.254575019375445]",1.0
La communication numerique est au coeur de notre societe moderne,"[2.1114157166492173, -0.03646447077293491, 0.4614711775800656, 0.7663880157756605, -1.1110239935841246, -1.6209969674404128, 2.0099563991973852, -0.7290830268976207, -1.7547032416992043, -1.2100069888067368, -0.689226547557101, -0.8106370734186628, -1.4124292984608435, -1.6012985419742347, -0.18670079817298713]",2.0
mbWrL,"[0.6157590541735634, -1.6299833873214429, -1.048763791894517, 0.6227420074322174, -0.8233021852221637, -1.5601604294278544, 1.2054194604329633, -0.14325160312789764, 0.39325420702775726, 0.8138884798698384, 1.7099981682876486, 1.6538349961216925, 0.8335047073116364, 1.7644811838824288, 0.26969494889559087]",4.0
