Mot original,Trame codée bruitée,Trame binaire originale
d9cl9iyd,"1.32593261654496, -0.9240273604078973, -0.7327374198108679, 1.031524185520025, 1.0118406581397594, -1.0634678892792848, -1.080496264787707, -0.8914887628340399, -1.0342369864756924, 1.0620997035477675, -0.9627667057530026, 1.0762403002275895, 1.0226928498929586, -1.027829909706868, 1.1048314182381884","0.0, 1.0, 1.0, 0.0, 0.0, 1.0"
amppaj3,"1.0714142869623497, -1.089594623287124, -1.0139251409101844, 1.0147004285388879, 1.0063869284278382, 0.8210977295883619, -1.1073283618456917, 0.8183599944695126, -0.9679241892233379, 1.0937449741006797, 0.9451526417672252, 0.9933448485205038, -0.9329447356274885, 1.1729400833971522, -1.1536011036233929","0.0, 1.0, 1.0, 0.0, 0.0, 0.0"
aj1jf,"0.9534202255161087, -0.9592271328745565, -1.2032024491408762, 1.0858245555717234, 0.864652286807562, 0.9028653551303294, -1.31455331706537, 0.8954140519720171, -1.0737013634105148, 1.0791952202361066, 0.9568041525608936, 0.9290280224727921, -1.0934652049373632, 0.8480964833572698, -1.1047865438338837","0.0, 1.0, 1.0, 0.0, 0.0, 0.0"
fljn0y,"1.1833265166426021, -0.9382156318162574, -0.8069677920059566, 1.0478690275610123, 0.7890927566611287, -1.0208579360466254, -1.0209813917025878, -0.9732968235225417, -1.0074770752564064, 1.0632809748632714, -0.9201877737639432, 0.8389579950754223, 0.9897813142373159, -0.9517575359225194, 0.993867032849175","0.0, 1.0, 1.0, 0.0, 0.0, 1.0"
,"1.1329436972987827, 1.2258137720464246, 0.9434712299712761, 1.2180171183113373, 0.9444798605005013, 1.0122532469314143, 1.177665946557766, 0.896685462582192, 1.0526081566988896, 1.178608751153021, 0.954099309535007, 0.9175656283910643, 1.1943668532236804, 0.7863774073508887, 0.9033013897922273","0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
b,"1.0042127068872033, -1.030034879262396, -1.2612107656642355, 0.8561592760574425, 0.8879067563178114, 1.1221760290598588, -0.9407764195575183, 0.8304059771772597, -1.0507762459978973, 0.9434034955474688, 1.0275430608502134, 0.9429669156673121, -1.0802907869256804, 1.1306143012581988, -1.2212543283507844","0.0, 1.0, 1.0, 0.0, 0.0, 0.0"
vz2yv1bbk2,"1.1155336754595326, -1.1012561692472491, -0.9873082017193185, -0.7841315024292133, 1.0330292342187404, -1.086762988905338, 0.9442364744677958, 0.7292023912367285, 1.2507350669956852, 1.1409262503291278, 0.8908000600278096, -1.0853576694669036, -0.785504655988366, -1.2479167469584227, -0.7954595331695473","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
,"0.865684155295952, 0.9959751168516087, 0.9375453994965613, 0.9346409250278144, 0.8888440016336514, 1.1538497093756412, 1.0562033915544513, 0.8366135752603598, 1.0901922578027345, 0.8736395788391811, 0.9007731819327364, 0.9306683437235408, 1.2458886136883147, 1.042020976027167, 0.8857894110545804","0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
10z9r,"0.8408669726203978, 0.9024133489497234, -0.9116460880115859, -0.9760651189886689, 1.0460965993857014, 0.868023518242882, 0.8107385814502746, -0.8596586548446123, 0.9924263378799504, 0.9107170901939944, -0.9853417869691453, 1.1754750413561297, -0.8391652853370928, -1.0148831274174253, 0.9825818564512573","0.0, 0.0, 1.0, 1.0, 0.0, 0.0"
s,"1.1397371667277443, -0.8475701122343231, -1.0294166584220785, -1.1276060104309331, 1.245655601001416, 1.1876813293439636, 0.7602456251495738, -0.8179925173723872, 1.1225562798253617, 0.7085720231486168, -1.0282928011445462, -0.9369469413812781, 1.08661474477446, 1.1377016803823974, 1.0994788030435676","0.0, 1.0, 1.0, 1.0, 0.0, 0.0"
v6jd,"1.0186398430723278, -0.9992002376331531, -0.9521133511912524, -0.916432573245755, 1.1191690390568392, -0.9530809458770475, 1.1468119874588862, 1.2721295427923558, 1.1194390981784146, 0.9628596075350727, 1.0821509429724492, -0.944330080873589, -0.9470500948242006, -1.035336781672177, -0.9482197232108743","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
,"0.7859785903433218, 1.1250599037731042, 1.0474384769499696, 1.2277268479595744, 1.0734156532352277, 1.0382240496108825, 0.9944259335334917, 1.0861840712677278, 0.8885948949993739, 0.743925601523338, 1.302989842157316, 1.000971656426702, 1.3206483983196382, 0.9717881942227948, 0.9384355855534935","0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
mwi,"1.052213626125055, -0.8709337382314547, -0.8362990422117279, 1.027572933621745, -1.1147268445608194, -1.1349846982216611, -0.7961166237866116, -1.134846605249994, 0.6872527164571143, -0.9882376775976884, -1.0223527356567657, -1.037464274876009, -0.8653273551409553, -1.0526160283601818, -0.955358288233876","0.0, 1.0, 1.0, 0.0, 1.0, 1.0"
nj6k9ovq16,"1.098864883852682, -1.1165653897633758, -0.8011621221245925, 0.8668469241844539, -1.0184695258208605, -1.0303808673744537, -1.1982531194118609, -0.9833115690800378, 1.1045383330805885, -0.9879885829019248, -0.9473782065630694, -1.1632804858652472, -0.9980322552521871, -0.9328558444498867, -1.3270247135749542","0.0, 1.0, 1.0, 0.0, 1.0, 1.0"
ujn94xy2uj,"1.1788032203645682, -0.7411243778997263, -0.9662132005435099, -0.8838919950587214, 0.7204093352276738, -0.9209379696278309, 1.0167157537494962, 1.2466548924959664, 0.9621083183696574, 0.9889082815190877, 1.1238629019181887, -1.1512463094890117, -1.06941079739143, -0.9079687052858052, -0.8371937823625508","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
lj3,"1.201568331890308, -0.8989231947934143, -1.0619799789857451, 0.9885811063218223, -0.907197125321323, -1.1294590965767157, -1.1266400214561958, -0.9977868423059054, 1.112836915514726, -1.0861583667553154, -1.070642559568651, -0.8822628542945594, -1.1736140334831466, -0.7595275898396324, -1.027180572293919","0.0, 1.0, 1.0, 0.0, 1.0, 1.0"
nusvkx1j66,"1.0100532722938653, -0.8027192095832086, -1.1455867339812897, 0.8542645981759489, -1.2904560411939356, -0.8441483819749153, -1.1090377581624482, -0.8779989504732454, 1.2441771820346708, -0.9020133636923015, -0.9353936118314914, -0.8478697340042785, -0.9910324485829027, -1.1660120749575538, -1.33082066085244","0.0, 1.0, 1.0, 0.0, 1.0, 1.0"
okfx,"0.8660907352556774, -0.9910500188871505, -0.93879801135724, 0.8929005533345814, -1.0322620600063133, -1.093844029584125, -1.0724887861075587, -1.0714402907824905, 0.9736041357271928, -0.8883401571375461, -1.077136327234543, -0.9611559302748622, -1.0087420692125488, -1.0292640402966986, -1.0202151847063563","0.0, 1.0, 1.0, 0.0, 1.0, 1.0"
h55crt76,"0.8798120308717258, -1.0809687006107083, -1.0269276290001024, 1.106759736625398, -1.2302125867051226, 1.0005823551579227, -0.8835707521242979, 1.0421110972272134, 0.8292015374337013, -0.9210398644971185, 1.0417465251007427, -0.972461261527155, 0.9698584425139066, 0.9596119438683695, 1.191303540837725","0.0, 1.0, 1.0, 0.0, 1.0, 0.0"
sp,"0.8435476013847174, -0.948408299842435, -1.0975143684164015, -1.1636405719531902, 0.9822132240607182, 0.8785241262184409, 0.9294082916616511, -1.3937620490324722, 1.1866159211859089, 1.1008472421278181, -0.882645080035072, -0.8455056021464842, 0.6935031117698889, 1.0602396386501964, 1.1624298528907124","0.0, 1.0, 1.0, 1.0, 0.0, 0.0"
3mzsir2d,"0.7215129253924253, 0.8803404954841169, -0.9213517966229434, -0.9016928569409728, 0.9324946135577565, 1.0299796148187053, 0.7222840036885364, -1.0403191122421183, 0.9680471338405923, 0.8658747852499299, -1.1413292794291412, 1.087370063748637, -1.280013481775458, -0.8327325225002632, 1.082383477772027","0.0, 0.0, 1.0, 1.0, 0.0, 0.0"
a01uc882,"1.1583018415604787, -0.7577713215352264, -0.719724433341711, 1.1039318469847783, 1.011889642010497, 0.9741903437395568, -0.9770396893072884, 1.0005891529456055, -1.0031100235672388, 1.3734313758662324, 1.0309764833088264, 1.1174024706012309, -1.4313556593935226, 1.1489756282677694, -1.0290204833682002","0.0, 1.0, 1.0, 0.0, 0.0, 0.0"
w750l,"0.8118199548124142, -1.218672012558585, -0.8006795427723025, -0.9388056608525726, 0.8633813592571888, -0.9467546093164374, 1.03098109252416, 1.0632504366639972, 1.0090280724528924, 0.9446560201144327, 0.9983720193531291, -0.8371222992756416, -1.207622725045623, -0.973105759122291, -0.9679339036006043","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
q,"0.9520081475329981, -0.7440239689919588, -0.9088674709815262, -0.8330162673389653, 0.9108154168712965, 0.9706741164691137, 0.6957046488077748, -1.0495733704308332, 0.8982028124328895, 0.851090676289075, -0.8787521659251859, -0.8595066861307087, 0.8375743065250957, 0.921464424747446, 1.04808816507789","0.0, 1.0, 1.0, 1.0, 0.0, 0.0"
v2n,"0.945487515424622, -1.1673767902325738, -0.9515471603906227, -1.0674561327975367, 0.8439766831168851, -1.0666385420296345, 1.0472139883578517, 0.9019360272857937, 0.9980358724429761, 1.1231105038908622, 1.2607727388931347, -1.0669243444901884, -0.6705724475310135, -1.103987694056456, -1.0254964728993732","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
v5x86gtg,"0.9357507858829314, -1.0212795079424177, -1.070477794279186, -0.9767060317287795, 0.9196988960817571, -1.0819977338378854, 1.014036155163516, 1.0360836547906151, 0.9426325719997537, 0.8792527016997088, 0.9890012147159227, -1.1451306063212046, -0.8440984875492314, -1.0306742660406112, -0.936688219551876","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
ls0,"0.7208472087106341, -1.2163161714810053, -1.022168250524402, 0.6139745240587442, -0.9926262901751423, -1.204319507793829, -1.013685362631978, -0.9397726732860014, 0.8242710718964499, -1.082558172782691, -0.9534711182548353, -0.8862624211787634, -1.0040509970746452, -0.9083354549182958, -1.0385885789574265","0.0, 1.0, 1.0, 0.0, 1.0, 1.0"
,"1.1286790882040856, 0.998555329618208, 0.7076690351607997, 1.0414316954123275, 1.216854468413495, 0.8324045812343713, 1.2684311653673175, 0.8448312622438339, 1.0766735766705111, 0.9311335280002767, 1.0150139431989622, 1.022685497827133, 1.224123089569249, 1.0077306380781232, 0.9345613027196995","0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
e,"1.1450511033513213, -1.128486928584383, -0.7219567209383957, 0.9882055609122774, 0.8818304429491263, -1.0104471672279762, -1.0106318189717984, -0.8065586573493885, -1.2873864413746494, 0.8247933314928276, -1.1602311385393442, 1.1472270519326424, 1.1172587553738236, -1.0849924617377964, 0.9631814315262752","0.0, 1.0, 1.0, 0.0, 0.0, 1.0"
9zhac,"1.0952829202579693, 1.0139281667253552, -0.9212876469986497, -1.0829217171006889, -1.277863703266597, 0.872545206751863, 0.9317171336702038, -0.8880767482551634, -0.8337234622903829, -1.0548340078659928, -1.0010593055821881, -1.1716865860763075, 1.271880087457913, -1.1246391085843879, -1.1284937276260958","0.0, 0.0, 1.0, 1.0, 1.0, 0.0"
,"0.9465486535975223, 0.9413353519012022, 0.985942349984542, 0.9339442786351034, 1.0826781976938622, 1.1436054026221305, 0.6683774297522413, 0.7879575309641228, 1.0459472284238924, 0.9611979560625921, 1.0883722866086747, 0.8695024647284059, 1.1496362962343218, 1.0325234983353235, 0.6983419147313579","0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
y7ju,"1.0813575406725262, -0.7641426300454337, -0.9563513791280722, -1.079045382121444, -1.0415622457725142, 0.8758314287601487, 1.2232628380323298, -1.108122793155621, -1.044289368341205, -0.9643810546027369, -0.9492095115740531, 1.0240430794520534, -0.9871097115327269, 1.0355242741718222, -0.8727568919213938","0.0, 1.0, 1.0, 1.0, 1.0, 0.0"
,"1.1733147400351938, 1.1943326489730595, 0.8519435338274202, 1.0959705838713347, 1.0528715086815505, 0.9412729733190364, 0.9977647452080045, 0.9304896434255014, 0.9982897858846955, 1.1068083253152194, 1.0949427961033136, 0.9047270720575962, 1.008569892315902, 1.3433396618257027, 1.045473228112634","0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
lkd9den,"0.9139227455898561, -0.941597301701085, -0.9571338884360442, 0.9595437960618323, -0.9632486107838966, -0.7817234894332409, -0.6551142447284668, -1.0094999865905365, 1.0626535669266053, -1.209366854350856, -0.6391230322288021, -1.1232897598597864, -1.0812845700524032, -1.1580051745031668, -1.0530509062736961","0.0, 1.0, 1.0, 0.0, 1.0, 1.0"
ty,"1.1206208916105194, -0.6957474694512077, -1.1342023591216643, -1.212252727860975, 0.801726193283872, -1.0363435573208597, 1.0407749413899146, 0.963935168741681, 0.9391048568999091, 0.9622056165914181, 1.018233286047296, -1.0648360865108009, -1.2217830041413125, -0.9362140894286352, -1.0286870614581531","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
,"1.009659530702403, 1.039466096854146, 1.0786538684634517, 1.0166961494423024, 0.8937985751023205, 0.7200981416727305, 0.8894287175149538, 0.9297495937176455, 0.9666156852959404, 0.7385276798592545, 1.0037359929435625, 0.9679513117252735, 1.109270557521867, 1.0072286203322534, 0.817478722575957","0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
5uple2v,"1.0131365226885465, 1.0568444985388459, -1.1161180206793042, -1.04667286076901, 1.0256805781210985, -1.2168505162314165, 0.6317344922303653, 1.0615192037213457, 1.1460767176354882, 0.9445925050724979, 1.1555032493096595, 0.9500511949574559, 1.0230068607091864, 0.9164354913063332, -0.7929367194949797","0.0, 0.0, 1.0, 1.0, 0.0, 1.0"
gj,"0.9670242738263581, -0.8246521000069741, -1.1144466506707862, 0.9840152314252795, 1.0943738028404313, -1.1063091933595268, -0.7482563492875646, -1.2168282716095387, -0.8896308447318417, 1.0498523245711944, -0.8849259357196185, 1.0692523151568654, 0.8276539627884764, -0.9148713019937873, 1.2726548366471822","0.0, 1.0, 1.0, 0.0, 0.0, 1.0"
3i4lrae,"1.0557433919626225, 1.1760159909247327, -1.2846030344698949, -0.8743307587291873, 0.7500272382585595, 0.933959947541722, 0.6505731628650943, -1.072563696293464, 1.0180693469735793, 1.0995177146084127, -1.2914019519566533, 1.250844503384464, -1.0490285547072395, -0.8631976130024229, 0.9651252990431143","0.0, 0.0, 1.0, 1.0, 0.0, 0.0"
,"0.9904883024901083, 1.0131924646534656, 0.9118687801632781, 1.1799715060096294, 1.2765897516869562, 1.0912589197581004, 0.9125648478503288, 1.0198436399527184, 0.9477128690132685, 1.0312759610811155, 1.293315288093038, 1.0790681314399082, 0.9149505353992042, 1.1296872810993048, 0.8747742630635967","0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
0m1e,"1.1243442027478352, 1.1031466284806888, -1.2118494547637437, -0.8360136164273382, 0.9483813360559455, 1.001279022736799, 0.8617047090763162, -0.7605942896988764, 1.1566472898331115, 1.0064291926160254, -1.0733775973545194, 1.1505350980042108, -1.3703424306683414, -1.029820463711503, 0.830858197625544","0.0, 0.0, 1.0, 1.0, 0.0, 0.0"
7e4,"1.1134527593213308, 1.0049110802941397, -1.0038225055565426, -0.9768732508282743, 1.1516966229730345, -1.0371691909440257, 0.9847992374283137, 0.9490559432107294, 1.0007282056744222, 0.9084985432537078, 0.8521899958876207, 1.0076313596543631, 1.221095585165587, 0.9053752134248864, -0.994329533892854","0.0, 0.0, 1.0, 1.0, 0.0, 1.0"
4hhe6i1q5,"0.9898430911163928, 1.0314348393134443, -0.7766760306599391, -0.7343252536761112, 1.019557186060917, -0.9683403450036085, 0.8995176749317513, 0.9108627645470244, 1.0878890851415792, 0.8631070378438529, 0.7772924884116487, 0.9657675855569777, 1.28457801405148, 0.9725367519812035, -0.8349359189546469","0.0, 0.0, 1.0, 1.0, 0.0, 1.0"
x5hvj5,"0.737097473434906, -0.8922469054860789, -1.0110513082255124, -1.0102156837294496, -0.9544400492722017, 1.1500585155139387, 1.031375892257785, -1.1622312439778522, -0.9806453200310111, -0.6424691926039336, -1.119023000855059, 1.2960475531997515, -1.1937692674389822, 1.0033717650406808, -0.8986250726368569","0.0, 1.0, 1.0, 1.0, 1.0, 0.0"
mi64de,"0.8689412860453215, -0.8260874757670885, -0.9145463200962244, 0.9823214022288403, -1.2939751086464104, -1.0473775027459347, -1.0277754059177568, -0.9843626602018147, 0.9774757441973101, -1.190440704031976, -0.8342759426270484, -0.9688017715139261, -0.9410093194875259, -1.049103865198654, -1.0399046512209222","0.0, 1.0, 1.0, 0.0, 1.0, 1.0"
b2cf6iht9,"0.9066382597575737, -1.113414791049241, -0.9790170989731364, 0.9454816884960735, 1.138319346349818, 1.0635861118520475, -0.984036134981068, 1.1157818309425527, -0.9782120428977259, 0.8898560750656137, 1.1235385238506386, 1.218087346138064, -0.9448208163403108, 1.032402591338132, -1.0964492374310906","0.0, 1.0, 1.0, 0.0, 0.0, 0.0"
,"1.2017752081265138, 1.0241737069255172, 0.8390156946936985, 0.8596383495401175, 1.1945460008174684, 0.9717183977419993, 0.989565039094479, 0.9448688301721, 0.9947717043518691, 1.2152572620582542, 0.9529116128666186, 0.653948297084556, 1.013219122438202, 0.9437059658703157, 0.9076858934001241","0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
n5vom5vr,"0.7618799666115504, -0.8648127294870013, -1.0102837600421501, 0.8970808784957457, -0.8680996132288252, -1.1481168809872009, -1.102537486806315, -0.8940126607930183, 1.1730767338879042, -0.8795462325998844, -1.2368906539428974, -0.9743132830246751, -0.897521638244031, -0.853046822400738, -1.0459401792208185","0.0, 1.0, 1.0, 0.0, 1.0, 1.0"
mp4ph9,"0.8645186279956544, -1.1028173666520087, -0.822404070030715, 0.7880910538106659, -1.0092279493620067, -1.1012299463191404, -0.913462225704545, -1.2502988724926212, 0.9910157640832278, -1.0223240714980069, -0.9519474345265508, -1.0399753261466624, -0.909504478723471, -0.8343664643617718, -1.202184368257408","0.0, 1.0, 1.0, 0.0, 1.0, 1.0"
,"1.1964583177042158, 0.7141829391246933, 0.9226569546308423, 1.0112721180543003, 0.8923239030859106, 0.8535664104410121, 0.9214007939454634, 1.1395329048123326, 0.8327458620039812, 0.910878976743458, 0.8273251833559098, 0.8871625208885028, 1.121238887456243, 1.1750709676704398, 0.8134086266060102","0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
x8i,"0.894652231582571, -0.8916400424865346, -1.0364597146888168, -0.8991873250617178, -0.9207003766891483, 1.223633642727966, 0.8753461010490555, -0.9418172554392387, -0.8524724107119114, -0.8825077865399458, -0.9766914047918339, 0.9287513971863686, -1.0699900195845198, 0.8789020641858302, -0.9561977194140583","0.0, 1.0, 1.0, 1.0, 1.0, 0.0"
sk7,"0.7457852791763078, -1.1911975907183938, -1.1309529741549869, -1.2223307142494666, 1.094174512604079, 1.23200534159917, 1.0911123562463307, -1.0413016315967776, 1.014562180632516, 0.8124489972899811, -0.9734324393800626, -1.2510875722530868, 1.0405213934536994, 1.1967668362721293, 0.8642973789230024","0.0, 1.0, 1.0, 1.0, 0.0, 0.0"
ygr5xrw09,"1.076641285161715, -0.9925091718116488, -0.981757071416667, -0.7282038285427518, -1.0877846868442107, 1.1407622671037194, 1.107019804552071, -1.1866440853487394, -1.245153118678934, -0.8768391269647218, -0.8266859321909366, 1.117346660510796, -0.9371544093010643, 0.9766937951399327, -0.9008391704796141","0.0, 1.0, 1.0, 1.0, 1.0, 0.0"
9rt6e6km6g,"1.0069024625907066, 1.0171327802525587, -0.972357746766749, -1.1211826621189964, -1.1571048578741883, 0.9937845443610601, 1.0599793311768404, -0.8371943907342498, -1.073390758300779, -0.802639390297367, -1.1095832000929462, -0.8496945616158904, 0.9543595029885619, -0.8879892169976842, -0.944297690397174","0.0, 0.0, 1.0, 1.0, 1.0, 0.0"
3650hc,"0.9903709822235848, 1.2367630778116903, -0.819316581886816, -1.0112200746891482, 0.967062930029968, 1.3930619026655378, 1.1840161676818373, -1.0453066575105887, 1.0532762860973781, 0.8162978049177589, -0.9334479308457991, 1.0380798969505636, -0.8493466028336537, -0.9821920563755783, 1.0222891521539326","0.0, 0.0, 1.0, 1.0, 0.0, 0.0"
,"1.1207304999458847, 1.1464513011065673, 0.8052109366474849, 0.9074244096091819, 1.1220306755336238, 1.175557395102698, 0.941338068814224, 0.9270623319996886, 1.116870478088813, 0.9002263628783347, 0.9903516589486089, 1.0416080632554954, 0.8272202263465644, 1.1041857353075122, 0.871257900308547","0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
dntlv6kq7,"0.9328712584886312, -1.1848697859540567, -1.1577606963274918, 1.1166694944334103, 1.104567994918389, -1.2490517734535558, -0.8759392067100795, -1.1190979039491773, -0.9740385974435317, 0.9110181097712549, -0.9317733348523837, 1.0663410774923177, 0.6866399986134567, -0.9364868716579177, 0.8610818193126375","0.0, 1.0, 1.0, 0.0, 0.0, 1.0"
ba,"0.9402448808688406, -1.2487624739171084, -0.9503299650588048, 1.0924265066978278, 1.1108639895166839, 0.8138650435897974, -1.0356324297130868, 1.219275797121814, -0.9326377451900301, 0.9024284349330249, 1.1558410948502582, 0.9059739623660822, -0.8319657281304303, 1.1818193509840451, -0.9365001657086767","0.0, 1.0, 1.0, 0.0, 0.0, 0.0"
yefecac,"1.0833610313706865, -1.1420986352433942, -0.9819043365798623, -0.8659212782571614, -0.9535807866004296, 1.0269430141912328, 0.956990003479314, -0.9964888231323061, -0.9788700035003175, -1.0872681291948958, -1.0576321682316734, 0.7262427656197006, -0.9681072809590974, 1.1536229452120554, -1.1338131446447628","0.0, 1.0, 1.0, 1.0, 1.0, 0.0"
7,"0.6768161065580602, 1.2919487230705382, -1.093801941607851, -1.0934371457649523, 0.7457351010758906, -1.2235954321466007, 0.9237386311446004, 0.8904398142560234, 0.9479815287533793, 1.0686797260833183, 0.9502929939970909, 1.222172783537228, 0.8242866091544847, 0.8736478889873311, -0.8224691610982189","0.0, 0.0, 1.0, 1.0, 0.0, 1.0"
i9k,"1.1016956036510035, -0.9007374854543053, -1.1300506948527174, 0.9583417934629292, -0.8481163401909755, 1.234100528561709, -1.0779889284081499, 0.9720981756136049, 1.0913767924944764, -0.881065039768629, 0.9967218526938632, -1.0349105956747122, 0.9275267421437194, 0.8211159001983942, 0.927550974494456","0.0, 1.0, 1.0, 0.0, 1.0, 0.0"
i2lly45zg3,"1.0078671670127062, -0.9745777688970209, -0.9819364201502961, 0.8909223644917007, -0.9071124665473295, 1.1804983264695992, -1.0923288334921644, 1.0672036485173266, 0.9097091789243944, -0.8356248865058851, 1.1263142766797585, -1.0402323910127937, 0.9196787382243367, 0.9465763210626941, 1.41207262764495","0.0, 1.0, 1.0, 0.0, 1.0, 0.0"
kdu,"1.1184230058099571, -0.9088241426246485, -0.9628580404444813, 1.1263980355465317, -1.058926568130205, 1.1404301325954092, -0.9564878061181552, 0.8798818610097542, 0.9802843071522999, -1.003853595172959, 0.9859049108471567, -0.9019513062519645, 1.0507174506874482, 0.9523718754089749, 1.017072033419127","0.0, 1.0, 1.0, 0.0, 1.0, 0.0"
,"1.0164198708041734, 0.8811327749018816, 0.9965891744799449, 0.9484848292816214, 0.8615777345692552, 1.106931850240406, 0.9244249808852003, 1.0542609771524962, 0.9701396420952264, 0.8799785504902818, 0.8451330939953337, 0.8334446586416978, 0.8694068427427291, 0.8887831761414804, 0.9023510701491763","0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
9u3oylz,"1.0437530000071367, 0.8973807140676672, -1.055795473332723, -0.941410143876371, -0.9189616478608493, 0.8372042798530944, 0.6637517075500432, -0.9192558357127867, -0.8918349939313952, -1.1446360840751226, -0.7262137510568372, -1.06711804361336, 1.0207847931421077, -1.1992667592260402, -0.9269817713561573","0.0, 0.0, 1.0, 1.0, 1.0, 0.0"
98,"1.017515201907601, 0.957706708240237, -0.997031555657877, -1.0349215549162765, -0.9550714955927104, 1.2532918045972294, 0.7961646350581332, -0.6608205231005315, -0.9696205576228737, -0.8222761657458992, -0.8338349759839516, -1.002685241926345, 1.1296040773482339, -1.3079569248905938, -0.9510244861029447","0.0, 0.0, 1.0, 1.0, 1.0, 0.0"
5j8zn,"0.9499265244929744, 0.893151667666381, -1.1168688841395125, -0.8656362781943139, 1.0228557739031248, -1.0246006440367044, 0.9788093276165747, 1.159090990089656, 0.8909423775676332, 0.9279123638490786, 0.8799573321070195, 1.0742974503986653, 0.5677194224646152, 1.0374033050024059, -1.023960036927183","0.0, 0.0, 1.0, 1.0, 0.0, 1.0"
,"0.8609019677521565, 0.8950018352281038, 1.0210906837607079, 1.1510190805978644, 0.8940554739522737, 1.0440050399622607, 0.8591140527267036, 0.9995580855889279, 0.8429987550827782, 0.9141622285206938, 1.245067700253008, 0.8733225262574399, 1.0794700537335307, 1.1829075103155393, 1.0499606716710912","0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
vq45p3,"1.0098858710416854, -1.03997297613366, -0.9644822757246249, -0.8771554630217369, 0.8753710041104663, -0.894516174883495, 1.2063032611289288, 1.1175049877388734, 0.7445894996545974, 0.9610452213678833, 1.0329429884473482, -1.2072723177895568, -1.113220754556512, -1.0948189559180639, -1.109758640869233","0.0, 1.0, 1.0, 1.0, 0.0, 1.0"
,"1.0910816642057481, 0.8135693326734752, 0.9218047393653428, 1.28307104645366, 1.056073223122511, 1.0426884381634456, 0.989854287861658, 0.8301762801161173, 1.0797887340386136, 1.0153780521399653, 0.8472982884956385, 1.0384362196398236, 1.0635048719270652, 0.8017104858712124, 0.8284669310303374","0.0, 0.0, 0.0, 0.0, 0.0, 0.0"
2,"1.079451069068283, 0.9478427483897586, -0.9264010042153843, -0.915979602898334, 1.0850211802824723, 0.9798234266736721, 0.8826094298146897, -1.1619365638079677, 0.9882439966909733, 0.9962234321922729, -1.2793449423394578, 1.0683836869303414, -0.9043248030232032, -0.9554957282270684, 0.8109131283833066","0.0, 0.0, 1.0, 1.0, 0.0, 0.0"
gl,"1.1717270126390908, -0.8908241325216352, -0.8439256755553467, 1.07008773478204, 1.038913437341182, -0.8450214942564482, -1.1395215511242902, -0.9335609305256705, -0.6496295510862703, 1.1158555949949522, -1.0660535130928008, 1.1924783357809359, 0.6005834802923686, -0.8090620983373535, 1.2343008635235386","0.0, 1.0, 1.0, 0.0, 0.0, 1.0"
8mmo,"1.096384252428738, 1.0490794012444853, -0.9755505941652741, -0.9454552105328097, -1.1113396288063777, 0.9422868789788437, 0.7734577091185771, -0.8338750350641496, -1.0288914893052499, -1.0248374751931326, -0.9463242993144069, -1.0192162865861487, 1.0470500257077424, -1.2041606252474424, -1.166725344830479","0.0, 0.0, 1.0, 1.0, 1.0, 0.0"
1f9mzqb,"0.941187587512455, 0.8517033663775835, -1.0598055131497508, -0.9141433921812686, 0.8655957726049227, 0.9016534069348523, 1.2441549959804317, -1.116416135182158, 1.2504986627487966, 1.1402701492080978, -0.9116360442880258, 1.0004387044854925, -0.8621233816449738, -0.8131604919953155, 1.1809387399501703","0.0, 0.0, 1.0, 1.0, 0.0, 0.0"
egehhv1ia,"0.9223874401831647, -0.9347264110582608, -1.163327900634818, 0.7969083892927836, 0.7899428980682555, -0.8639281662418907, -0.9095982848711347, -1.2635508611409587, -0.7936813427660727, 0.8960394323817882, -1.0497163347679777, 0.9913445003473127, 1.117780809305458, -1.0218177351293463, 0.8539790788861338","0.0, 1.0, 1.0, 0.0, 0.0, 1.0"
ivm,"1.221692590632979, -1.065290963943551, -0.8933290713701757, 1.0378129189415441, -0.9691589682432183, 1.1266453439323398, -1.0021171369031148, 1.119733970437216, 1.0940168957249716, -0.6710341468747987, 0.9915516188930122, -0.9387505959590489, 0.8568358047238125, 1.3192927128555245, 0.9709044870561635","0.0, 1.0, 1.0, 0.0, 1.0, 0.0"
